,Movies,Year,Runtime,Imdb rating,Metascores,Votes,Gross (in millions)
448,Gangs of Wasseypur,2012,321,8.2,89,77917,
449,Enter the Dragon,1973,102,7.7,83,94267,25.0
450,The Nightmare Before Christmas,1993,76,8.0,82,284698,75.08
451,Pink Floyd: The Wall,1982,95,8.1,47,74600,22.24
452,Shoplifters,2018,121,8.0,93,56067,3.31
453,I Saw the Devil,2010,144,7.8,67,105594,0.13
454,Wreck-It Ralph,2012,101,7.7,72,370646,189.42
455,Match Point,2005,124,7.6,72,202598,23.09
456,Escape from Alcatraz,1979,112,7.6,76,116125,43.0
457,Gandhi,1982,191,8.0,79,214925,52.77
458,Empire of the Sun,1987,153,7.7,62,112887,22.24
459,Cold War,2018,89,7.6,90,45538,4.57
460,To Kill a Mockingbird,1962,129,8.2,88,288263,
461,Creed,2015,133,7.6,82,241209,109.77
462,Road to Perdition,2002,117,7.7,72,242045,104.45
463,Ran,1985,162,8.2,96,108415,4.14
464,"Paris, Texas",1984,145,8.1,78,85949,2.18
465,JFK,1991,189,8.0,72,138230,70.41
466,The Farewell,2019,100,7.6,89,43886,16.88
467,North by Northwest,1959,136,8.3,98,290791,13.28
468,Togo,2019,113,8.0,69,30252,
469,The Bourne Ultimatum,2007,115,8.0,85,596861,227.47
470,As Good as It Gets,1997,139,7.7,67,269531,148.48
471,The Boondock Saints,1999,108,7.8,44,224442,0.03
472,The Lego Movie,2014,100,7.7,83,318845,257.76
473,Midnight Cowboy,1969,113,7.8,79,98481,44.79
474,The Seventh Seal,1957,96,8.2,88,158677,
475,The Great Escape,1963,172,8.2,86,219107,12.1
476,A Fistful of Dollars,1964,99,8.0,65,191723,14.5
477,The Bourne Supremacy,2004,108,7.7,73,426448,176.24
478,Akira,1988,124,8.0,0,158851,0.55
479,The Elephant Man,1980,124,8.1,78,213896,
480,Toy Story 2,1999,92,7.9,88,513388,245.85
481,Changeling,2008,141,7.7,63,233016,35.74
482,Serpico,1973,130,7.7,87,106262,29.8
483,Singin' in the Rain,1952,103,8.3,99,212588,8.82
